Date,Target,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,day_of_week,month,day_of_month
2018-07-02,-0.005048593872520504,0.002663788187364395,-0.003970667387038061,-0.0019026450921762203,-0.009184884072561185,-0.000526656982283114,0,7,2
2018-06-29,0.005919386441779754,-0.0060022080794802975,0.002663788187364395,-0.003970667387038061,-0.0019026450921762203,-0.009184884072561185,4,6,29
2018-06-28,-0.007802534563583631,0.011732935466552243,-0.0060022080794802975,0.002663788187364395,-0.003970667387038061,-0.0019026450921762203,3,6,28
2018-06-27,0.0007488971823063698,-0.0027929755852477817,0.011732935466552243,-0.0060022080794802975,0.002663788187364395,-0.003970667387038061,2,6,27
2018-06-26,0.00870841607789599,0.0007954155086991972,-0.0027929755852477817,0.011732935466552243,-0.0060022080794802975,0.002663788187364395,1,6,26
2018-06-25,0.016047981410086554,-0.011051847990890548,0.0007954155086991972,-0.0027929755852477817,0.011732935466552243,-0.0060022080794802975,0,6,25
2018-06-22,-0.006314911513009841,-0.003732121271633621,-0.011051847990890548,0.0007954155086991972,-0.0027929755852477817,0.011732935466552243,4,6,22
2018-06-21,0.027328010183574523,0.0227009157808525,-0.003732121271633621,-0.011051847990890548,0.0007954155086991972,-0.0027929755852477817,3,6,21
2018-06-20,0.009955003937190803,-0.016514896590611165,0.0227009157808525,-0.003732121271633621,-0.011051847990890548,0.0007954155086991972,2,6,20
2018-06-19,0.013060313706863964,0.009346847254589199,-0.016514896590611165,0.0227009157808525,-0.003732121271633621,-0.011051847990890548,1,6,19
2018-06-18,0.013807449087621437,-0.0030923290953009277,0.009346847254589199,-0.016514896590611165,0.0227009157808525,-0.003732121271633621,0,6,18
2018-06-15,0.006158695481542819,0.0036074440605569427,-0.0030923290953009277,0.009346847254589199,-0.016514896590611165,0.0227009157808525,4,6,15
2018-06-14,-0.007936595768211385,0.00033802285775610404,0.0036074440605569427,-0.0030923290953009277,0.009346847254589199,-0.016514896590611165,3,6,14
2018-06-13,0.0011235023314527014,0.0171280251059732,0.00033802285775610404,0.0036074440605569427,-0.0030923290953009277,0.009346847254589199,2,6,13
2018-06-12,-0.002210439602584227,-0.008026158991794522,0.0171280251059732,0.00033802285775610404,0.0036074440605569427,-0.0030923290953009277,1,6,12
2018-06-11,0.0004987492609229219,1.298067437223212e-05,-0.008026158991794522,0.0171280251059732,0.00033802285775610404,0.0036074440605569427,0,6,11
2018-06-08,0.0026913122017069085,0.004354579441314416,1.298067437223212e-05,-0.008026158991794522,0.0171280251059732,0.00033802285775610404,4,6,8
2018-06-07,-0.003406449538461901,-0.007310730748322513,0.004354579441314416,1.298067437223212e-05,-0.008026158991794522,0.0171280251059732,3,6,7
2018-06-06,-0.002960668156680676,0.003032733856218997,-0.007310730748322513,0.004354579441314416,1.298067437223212e-05,-0.008026158991794522,2,6,6
2018-06-05,-0.00707078400364027,0.001033939107869565,0.003032733856218997,-0.007310730748322513,0.004354579441314416,1.298067437223212e-05,1,6,5
2018-06-04,-0.0014232559279427782,-0.0033209612596646963,0.001033939107869565,0.003032733856218997,-0.007310730748322513,0.004354579441314416,0,6,4
2018-06-01,0.0019418224853006952,0.007063768304821565,-0.0033209612596646963,0.001033939107869565,0.003032733856218997,-0.007310730748322513,4,6,1
2018-05-31,0.014255438399720939,-0.005118167807538526,0.007063768304821565,-0.0033209612596646963,0.001033939107869565,0.003032733856218997,3,5,31
2018-05-30,0.024139382258662297,-0.0030650278839498128,-0.005118167807538526,0.007063768304821565,-0.0033209612596646963,0.001033939107869565,2,5,30
2018-05-29,0.02924721482838627,0.0014797204896507899,-0.0030650278839498128,-0.005118167807538526,0.007063768304821565,-0.0033209612596646963,1,5,29
2018-05-25,0.0062557146494217515,-0.00743107710662429,0.0014797204896507899,-0.0030650278839498128,-0.005118167807538526,0.007063768304821565,4,5,25
2018-05-24,0.00918824036369205,0.012711296380519056,-0.00743107710662429,0.0014797204896507899,-0.0030650278839498128,-0.005118167807538526,3,5,24
2018-05-23,-0.006988530398774582,-0.0017530893942950521,0.012711296380519056,-0.00743107710662429,0.0014797204896507899,-0.0030650278839498128,2,5,23
2018-05-22,-0.019803947521235387,0.009248588030470432,-0.0017530893942950521,0.012711296380519056,-0.00743107710662429,0.0014797204896507899,1,5,22
2018-05-21,-0.01903571575073645,0.011363664348592145,0.009248588030470432,-0.0017530893942950521,0.012711296380519056,-0.00743107710662429,0,5,21
2018-05-18,-0.006997230442549239,-0.002323244536900317,0.011363664348592145,0.009248588030470432,-0.0017530893942950521,0.012711296380519056,4,5,18
2018-05-17,-0.011233940470859707,-0.01028020379844546,-0.002323244536900317,0.011363664348592145,0.009248588030470432,-0.0017530893942950521,3,5,17
2018-05-16,-0.009311141317298488,0.001179436319975246,-0.01028020379844546,-0.002323244536900317,0.011363664348592145,0.009248588030470432,2,5,16
2018-05-15,-0.02056881681044126,-0.0069281827319961995,0.001179436319975246,-0.01028020379844546,-0.002323244536900317,0.011363664348592145,1,5,15
